id,lesson_number,title,content,example_one,example_two,supporting_content,jlpt_level,category,related_grammar_references,related_kanji_references,related_vocab_references,difficulty_order,unlocks_content,origin
g163,163,"Nothing But / Only Doing — ~ばかり","ばかり follows a noun or verb plain form to mean only / nothing but / just finished. Three core uses: (1) after a noun: only X / full of X; (2) after te-form: doing nothing but; (3) after past short form: just did (recently completed).","彼女は文句ばかり言っている。(かのじょはもんくばかりいっている。) — She does nothing but complain.","今日は食べてばかりいた。(きょうはたべてばかりいた。) — I did nothing but eat today.","ばかり after past short form: 起きたばかり — just woke up (moments ago). This recent-past ばかり is very common: 日本に来たばかり — just arrived in Japan. ばかりか (not only X but also Y): 彼は怠けるばかりか、他の人の邪魔もする — not only is he lazy, he also disturbs others.",N3,expressions,,,,163,g164,user-title-ai-content
g164,164,"Even / As Long As — ~さえ / ~さえ〜ば","さえ follows a noun or verb stem to mean even. Combined with the ば conditional, さえ〜ば means as long as / if only — expressing that a single condition is sufficient for the desired outcome.","子供さえ知っている常識だ。(こどもさえしっているじょうしきだ。) — Even children know this common sense.","お金さえあれば、何でも買える。(おかねさえあれば、なんでもかえる。) — As long as you have money, you can buy anything.","さえ replaces other particles: noun + さえ (marks the extreme example). さえ + verb stem + すれば also works: 練習さえすれば上達する — if only you practice, you will improve. Compare でさえ — even X (stronger emphasis): 先生でさえ間違える — even teachers make mistakes.",N3,sentence-structure,,,,164,g165,user-title-ai-content
g165,165,"Showing Signs Of — ~がる / ~たがる","Third person plus the adjective stem plus がる expresses that someone is showing outward signs of a feeling — appears to / seems to feel. たがる (want-stem + がる) means appears to want to do. These are used when describing someone else's inner state from external evidence.","子供は甘いものをほしがっている。(こどもはあまいものをほしがっている。) — The child seems to want something sweet.","彼は早く帰りたがっている。(かれははやくかえりたがっている。) — He appears to want to go home early.","Formation: adjective stem + がる (e.g., 悲しい → 悲しがる, 怖い → 怖がる). たがる: verb masu-stem + たがる (e.g., 帰りたがる). がっている is the progressive form: 悲しがっている — showing sadness. Use these only for third persons; never use them about yourself.",N3,expressions,,,,165,g166,user-title-ai-content
g166,166,"That Is How Things Are — ~ものだ","Plain form plus ものだ expresses a general truth, social expectation, or how things naturally are — that is the way things are / is supposed to. It can also express nostalgic recall of past habits (used to), or strong emotion/desire.","人間はいつか死ぬものだ。(にんげんはいつかしぬものだ。) — People die eventually — that is just how things are.","子供の頃はよく公園で遊んだものだ。(こどものころはよくこうえんであそんだものだ。) — When I was a child, I used to play in the park a lot.","Past short form + ものだ: nostalgic past habit (used to). Dictionary form + ものだ: natural truth or expectation. ものではない: expresses that something should not be done (it goes against common sense): そんなことを言うものではない — you should not say such a thing.",N3,sentence-structure,,,,166,g167,user-title-ai-content
g167,167,"Although / In Spite Of — ~ものの","Plain form plus ものの means although / even though / in spite of the fact that. It introduces a concession — acknowledging a fact but following with a result that contrasts with or does not match the expectation. ものの carries a slightly literary nuance.","申し込んだものの、行けなくなってしまった。(もうしこんだものの、いけなくなってしまった。) — Although I applied, I ended up being unable to go.","日本語を勉強しているものの、なかなか上手にならない。(にほんごをべんきょうしているものの、なかなかじょうずにならない。) — Although I am studying Japanese, I am not getting better very easily.","ものの contrasts with のに: both mean even though, but のに carries the speaker's emotional disappointment or complaint; ものの is more neutral and descriptive. ものの is more common in written or formal contexts, while のに is more spoken.",N3,sentence-structure,,,,167,g168,user-title-ai-content
g168,168,"There Are Times When — ~ことがある","Past short form plus ことがある means there are times when / sometimes do. It describes occasional or irregular occurrences — something that happens from time to time but not always. Not to be confused with ~ことがある for past experience (I have done).","忙しくて食事をとれないことがある。(いそがしくてしょくじをとれないことがある。) — There are times when I am too busy to eat.","仕事で深夜まで働くことがあります。(しごとでしんやまではたらくことがあります。) — There are times when I work until late at night for work.","Distinguish two ことがある patterns: (1) past short form + ことがある (occasional occurrence — sometimes): 遅刻することがある — I am sometimes late. (2) past short form + ことがある (past experience — have ever done): 富士山に登ったことがある — I have climbed Mt Fuji before. Tense of the verb before ことがある determines the meaning.",N3,sentence-structure,,,,168,g169,user-title-ai-content
g169,169,"There Is No Need To — ~ことはない","Dictionary form plus ことはない means there is no need to / you do not have to / there is no point in. It reassures someone that an action is unnecessary or advises against worrying about something.","そんなに心配することはないよ。(そんなにしんぱいすることはないよ。) — There is no need to worry so much.","謝ることはありません。(あやまることはありません。) — There is no need to apologise.","ことはない is softer than なくていい (no need to — permission not to) and more reassuring in tone. Compare: 行かなくていいよ — you do not have to go (permission); 行くことはないよ — there is no need to go (gentle advice). ことはない can also appear in the negative conditional: やらないことはない — it is not that I will not do it.",N3,sentence-structure,,,,169,g170,user-title-ai-content
g170,170,"Whether Or Not — ~かどうか","Plain form plus かどうか means whether or not. It embeds a yes/no question as a noun clause within a larger sentence. かどうか can be the object of verbs like 知る (to know), 分かる (to understand), or 聞く (to ask).","彼が来るかどうか分かりません。(かれがくるかどうかわかりません。) — I do not know whether or not he is coming.","試験に受かったかどうかまだ聞いていない。(しけんにうかったかどうかまだきいていない。) — I have not yet asked whether or not they passed the exam.","かどうか vs か: かどうか is specifically for yes/no embedded questions (whether or not). か alone is used after question-word clauses: どこに行ったか教えてください — please tell me where they went. Combining: どこに行くかどうか is unusual; どこに行くか is the natural form for question-word clauses.",N3,sentence-structure,,,,170,g171,user-title-ai-content
g171,171,"As If / Just Like — ~かのように","Plain form plus かのように means as if / as though / just like. It draws an analogy between the actual situation and a hypothetical one. The comparison is clearly not literally true — the speaker is using it to vividly describe how something appears or feels.","まるで夢を見ているかのような気分だった。(まるでゆめをみているかのようなきぶんだった。) — It was as if I were dreaming.","彼はすべてを知っているかのように話す。(かれはすべてをしっているかのようにはなす。) — He speaks as if he knows everything.","かのように = か + の + ように. The か signals hypothetical embedding; の nominalises the clause; ように draws the comparison. まるで (as if / just like) often precedes かのように for emphasis: まるで外国にいるかのような雰囲気 — an atmosphere as if you were in a foreign country.",N3,sentence-structure,,,,171,g172,user-title-ai-content
g172,172,"To Try To / To Attempt To — ~ようとする","Verb volitional form plus とする means to try to do / to attempt to / to be about to. It describes making an effort to do something, often with a sense of the action being imminent or attempted but not yet complete.","窓を開けようとしたが、開かなかった。(まどをあけようとしたが、あかなかった。) — I tried to open the window, but it would not open.","帰ろうとしたとき、電話が鳴った。(かえろうとしたとき、でんわがなった。) — Just as I was about to leave, the phone rang.","ようとする describes the moment of attempting or being on the verge of doing. It is distinct from ようにする (making an effort habitually). ようとしている = in the process of trying to: 変わろうとしている — trying to change. Often paired with が or のに to indicate the attempt was frustrated.",N3,verb-forms,,,,172,g173,user-title-ai-content
g173,173,"Cannot Help But Feel — ~てしょうがない / ~てたまらない","Te-form plus しょうがない or てたまらない expresses an overwhelming feeling or sensation that the speaker cannot control or suppress — cannot help but feel / unbearably. The feeling is so strong it is difficult to bear.","暑くてしょうがない。(あつくてしょうがない。) — It is unbearably hot.","早く会いたくてたまらない。(はやくあいたくてたまらない。) — I cannot wait to see you — I miss you so much.","Formation: te-form or くて form of い-adj + しょうがない / たまらない. しょうがない = there is nothing to be done about it (it is so much that I cannot help it). たまらない = unbearable. Both attach to adjectives and verbs expressing internal states: 気になってしょうがない — I cannot stop wondering; 嬉しくてたまらない — I am overjoyed.",N3,expressions,,,,173,g174,user-title-ai-content
g174,174,"Both... And... / What Is More — ~し〜し","Plain form plus し lists multiple reasons or characteristics in a non-exhaustive way — and also / moreover / for one thing... for another. し implies that the listed reasons are not the only ones — there are more unsaid reasons supporting the conclusion.","この店は安いし、おいしいし、また来たい。(このみせはやすいし、おいしいし、またきたい。) — This restaurant is cheap and delicious — I want to come again.","疲れているし、お腹も空いているし、もう帰ります。(つかれているし、おなかもすいているし、もうかえります。) — I am tired, and hungry too, so I am going home.","し attaches to all predicate plain forms (verb, い-adj, な-adj + だし, noun + だし). The final し-clause is often dropped and replaced with a conclusion: 暑いし、疲れたし…(implied: so let us take a break). It is softer and more conversational than から for listing reasons.",N3,sentence-structure,,,,174,g175,user-title-ai-content
g175,175,"Every Time — ~たびに","Noun plus の + たびに, or verb dictionary form plus たびに, means every time / whenever. It states that a particular result or feeling reliably occurs each time the stated action or event takes place.","旅行のたびに、お土産を買います。(りょこうのたびに、おみやげをかいます。) — Every time I travel, I buy souvenirs.","この曲を聴くたびに、昔のことを思い出す。(このきょくをきくたびに、むかしのことをおもいだす。) — Every time I hear this song, I think of the past.","Formation: noun + の + たびに; verb dictionary form + たびに. たびに implies that the relationship between the action and the result is reliable and consistent — not just once, but regularly. Compare ごとに (every X interval — regularly spaced): 一時間ごとに休む — take a break every hour.",N3,time-expressions,,,,175,g176,user-title-ai-content
g176,176,"Thanks To — ~おかげで","Noun plus の + おかげで, or plain form plus おかげで, expresses gratitude or positive attribution — thanks to / owing to. It indicates that a positive outcome resulted from a particular person, thing, or circumstance. おかげで is strictly for positive outcomes.","先生のおかげで合格できました。(せんせいのおかげでごうかくできました。) — Thanks to my teacher, I was able to pass.","毎日練習したおかげで、上手になった。(まいにちれんしゅうしたおかげで、じょうずになった。) — Thanks to practicing every day, I improved.","おかげで vs せいで: おかげで is for positive results (thanks to); せいで is for negative results (because of / due to — blaming). 雨のせいで試合が中止になった — the match was cancelled because of the rain (negative). 雨が降らなかったおかげでピクニックができた — thanks to it not raining, we could have a picnic.",N3,sentence-structure,,,,176,g177,user-title-ai-content
g177,177,"Because Of (Negative) — ~せいで","Noun plus の + せいで, or plain form plus せいで, assigns blame or attributes a negative outcome — because of / due to / as a result of (something bad). せいで is exclusively used for undesirable results where the cause is seen as responsible.","電車が遅れたせいで、遅刻してしまった。(でんしゃがおくれたせいで、ちこくしてしまった。) — Because the train was delayed, I ended up being late.","寝不足のせいで、集中できない。(ねぶそくのせいで、しゅうちゅうできない。) — Because of lack of sleep, I cannot concentrate.","Compare おかげで (positive attribution) vs せいで (negative attribution/blame). せいだ at the end of a sentence shifts blame: 全部あなたのせいだ — it is all your fault. せいにする = to blame something on: 天気のせいにする — to blame it on the weather.",N3,sentence-structure,,,,177,g178,user-title-ai-content
g178,178,"Toward / In Response To — ~に対して","Noun plus に対して means toward / in contrast to / in response to / regarding. It marks the target of an action, attitude, comparison, or response. に対して is versatile and appears in formal writing and polite speech.","子供に対して優しくしてください。(こどもにたいしてやさしくしてください。) — Please be kind toward the children.","昨年に対して、今年は売り上げが増えた。(さくねんにたいして、ことしはうりあげがふえた。) — Compared to last year, sales increased this year.","に対して has three main uses: (1) toward / regarding (attitude or action directed at someone); (2) in contrast to (comparison between two things); (3) in response to. に対する functions as an attributive modifier before a noun: 子供に対する優しさ — kindness toward children.",N3,sentence-structure,,,,178,g179,user-title-ai-content
g179,179,"Regarding / Concerning — ~について","Noun plus について means about / concerning / regarding. It marks the topic of discussion, inquiry, thought, or writing. について is one of the most common formal and informal expressions for introducing what something is about.","日本の文化について話しましょう。(にほんのぶんかについてはなしましょう。) — Let us talk about Japanese culture.","環境問題についてレポートを書きました。(かんきょうもんだいについてレポートをかきました。) — I wrote a report concerning environmental issues.","について is frequently used with verbs like 話す (talk), 考える (think), 調べる (research), 書く (write), 質問する (ask a question). についての as an attributive modifier: 日本についての本 — a book about Japan. Compare に関して (Lesson 180) which is more formal and narrow in usage.",N3,sentence-structure,,,,179,g180,user-title-ai-content
g180,180,"Regarding (Formal) — ~に関して / ~に関する","Noun plus に関して means regarding / in relation to / concerning. It is more formal than について and tends to appear in official documents, academic writing, and professional speech. に関する modifies nouns: に関する + noun means a noun related to.","この件に関してご連絡いたします。(このけんにかんしてごれんらくいたします。) — I am contacting you regarding this matter.","環境に関する問題は深刻だ。(かんきょうにかんするもんだいはしんこくだ。) — Problems related to the environment are serious.","に関して vs について: both mean about / regarding, but に関して is more formal and narrower in scope. について is broader and more casual — it can introduce any topic. Use に関して in formal reports, announcements, or official correspondence. に関しては adds topic emphasis: 費用に関しては問題ない — as for costs, there is no problem.",N3,sentence-structure,,,,180,g181,user-title-ai-content
g181,181,"In the Role Of — ~として","Noun plus として means as / in the capacity of / in the role of. It indicates the function, role, identity, or status in which someone or something is being considered. として frames how a subject is being treated or understood.","彼はガイドとして働いています。(かれはがいどとしてはたらいています。) — He works as a guide.","この薬は痛み止めとして使われている。(このくすりはいたみどめとしてつかわれている。) — This medicine is used as a painkiller.","としては adds a perspective nuance — as far as X is concerned / as X: 学生としては十分な成績だ — as grades go for a student, they are sufficient. として is distinct from に (which marks a role in becoming: 医者になる — become a doctor) vs として (already occupying the role: 医者として働く — work as a doctor).",N3,sentence-structure,,,,181,g182,user-title-ai-content
g182,182,"Not Only But Also — ~だけでなく","Noun or plain form plus だけでなく means not only X but also Y. It adds an additional element that goes beyond what would be expected, signalling that the first item is not the limit.","彼は英語だけでなく、中国語も話せる。(かれはえいごだけでなく、ちゅうごくごもはなせる。) — He can speak not only English but also Chinese.","この問題は日本だけでなく、世界全体の問題だ。(このもんだいはにほんだけでなく、せかいぜんたいのもんだいだ。) — This issue is not only Japan's problem but a problem for the entire world.","だけでなく vs ばかりか: both mean not only X but also Y, but ばかりか adds a stronger sense of escalation or surprise: ばかりか often implies that even more is true than expected. だけでなく is neutral addition. Common pairing: だけでなく〜も: 私だけでなく彼も行く — not only I but also he will go.",N3,sentence-structure,,,,182,g183,user-title-ai-content
g183,183,"Not Only — ~ばかりか","Noun or plain form plus ばかりか means not only X but also (even more surprisingly) Y. It escalates — the second item is even more than what the first already implied. ばかりか carries a stronger sense of addition and emphasis than だけでなく.","彼女はピアノばかりか、バイオリンもプロ並みに弾ける。(かのじょはぴあのばかりか、ばいおりんもぷろなみにひける。) — Not only can she play piano but she can also play violin at a professional level.","この店は値段が高いばかりか、サービスも悪い。(このみせはねだんがたかいばかりか、さーびすもわるい。) — This shop is not only expensive but the service is also bad.","ばかりか is often followed by さえ or も to reinforce the added element. ばかりでなく is a closely related variant with a nearly identical meaning — both are interchangeable in most contexts, though ばかりか is slightly more literary.",N3,sentence-structure,,,,183,g184,user-title-ai-content
g184,184,"Far From — ~どころか","Noun or plain form plus どころか means far from X, in fact Y / not only X but actually the opposite of X. It sharply contradicts an expectation — what is actually true is so far from what was assumed that the assumption is almost absurd.","休みどころか、残業が増えた。(やすみどころか、ざんぎょうがふえた。) — Far from getting days off, my overtime increased.","日本語が上手になるどころか、忘れてきた。(にほんごがじょうずになるどころか、わすれてきた。) — Far from improving my Japanese, I have been forgetting it.","どころか is used when reality is the opposite of or far worse/better than the premise. Common pattern: AどころかB — not only is A not the case, but B (opposite or more extreme). どころではない: this is no time for X / X is out of the question: 遊んでいるどころではない — this is no time to be playing around.",N3,sentence-structure,,,,184,g185,user-title-ai-content
g185,185,"In Addition To — ~上に","Plain form or noun plus の + 上に means in addition to / on top of / what is more. It adds another fact that reinforces the same point — both the stated fact and the additional one support the same conclusion.","彼女は頭がいい上に、努力家だ。(かのじょはあたまがいいうえに、どりょくかだ。) — On top of being smart, she is also a hard worker.","雨の上に、風も強かった。(あめのうえに、かぜもつよかった。) — It was raining, and on top of that, the wind was strong too.","上に adds a fact of the same positive or negative tone — both reinforce each other. If the two clauses contrast, use のに or が instead. Compare: 上に (adds same-direction reinforcement), それに (and also — casual addition), さらに (furthermore — formal addition).",N3,sentence-structure,,,,185,g186,user-title-ai-content
g186,186,"On the Other Hand / While — ~一方","Plain form plus 一方 (いっぽう) means on the other hand / while / as. It contrasts two concurrent or opposing situations, or indicates that one thing is happening while another is also true. 一方で is the form before a clause; 一方 alone can end a sentence.","兄は外向的な一方、弟は内向的だ。(あにはそとむきないっぽう、おとうとはうちむきだ。) — While the older brother is outgoing, the younger brother is introverted.","物価が上がり続ける一方、給料は変わらない。(ぶっかがあがりつづけるいっぽう、きゅうりょうはかわらない。) — While prices keep rising, salaries remain unchanged.","一方 also has a second use expressing a single direction of change: 悪くなる一方だ — it keeps getting worse and worse (one-directional worsening). This one-direction use takes the dictionary form + 一方だ and is distinct from the contrast use.",N3,sentence-structure,,,,186,g187,user-title-ai-content
g187,187,"On the Other Hand (Contrast) — ~反面","Plain form or noun plus の + 反面 (はんめん) means on the other hand / while / in contrast. It presents a flip side — acknowledging one quality while pointing out that the opposite quality also exists. 反面 often refers to a disadvantage paired with an advantage, or vice versa.","彼は仕事熱心な反面、家族との時間が少ない。(かれはしごとねっしんなはんめん、かぞくとのじかんがすくない。) — While he is hardworking, he has little time with his family.","便利な反面、人との交流が減った。(べんりなはんめん、ひととのこうりゅうがへった。) — While it is convenient, interaction with people has decreased.","反面 specifically highlights an inherent tension or trade-off — one side of a coin that has two faces. Compare: 一方 (on the other hand — can contrast or show simultaneous trends); 反面 (the flip side — always implies an inherent duality). 反面 is more literary and formal than 一方.",N3,sentence-structure,,,,187,g188,user-title-ai-content
g188,188,"After a Long Process — ~末に / ~た末に","Noun plus の + 末に, or verb past short form plus 末に (すえに), means after a long period of X / at the end of / finally after. It describes a result that comes at the conclusion of a prolonged effort, deliberation, or struggle.","長い話し合いの末に、決断しました。(ながいはなしあいのすえに、けつだんしました。) — After long deliberation, we reached a decision.","迷った末に、留学することにした。(まよったすえに、りゅうがくすることにした。) — After much deliberation, I decided to study abroad.","末に implies the process leading to the conclusion was sustained and often difficult. Compare with あげく (Lesson 189) which often implies the conclusion was negative or unfortunate despite the effort. 末 + に vs 末 + の + noun: 迷った末に決めた — decided after deliberating; 迷いの末の決断 — a decision made after deliberation (noun).",N3,time-expressions,,,,188,g189,user-title-ai-content
g189,189,"After All That / In the End — ~あげく","Noun plus の + あげく, or verb past short form plus あげく (あげく), means after a long or troubled process, in the end. あげく often carries a negative connotation — the conclusion is undesirable or the effort came to nothing, though it can occasionally be neutral.","散々迷ったあげく、何も買わなかった。(さんざんまよったあげく、なにもかわなかった。) — After all that deliberation, I bought nothing.","けんかのあげく、別れてしまった。(けんかのあげく、わかれてしまった。) — After all those fights, they ended up breaking up.","あげく vs 末に: 末に is neutral — a result after sustained effort; あげく often implies dissatisfaction, waste, or a bad outcome after a long struggle. あげくの果てに is an intensified form: あげくの果てに謝らなかった — and after all that, he did not even apologise.",N3,time-expressions,,,,189,g190,user-title-ai-content
g190,190,"As Soon As / It All Depends On — ~次第","Noun or verb masu-stem plus 次第 (しだい) has two distinct uses: (1) as soon as / the moment: verb masu-stem + 次第 means I will do Y as soon as X is done; (2) it all depends on / is up to: noun + 次第 means it all depends on X.","準備ができ次第、出発します。(じゅんびができしだい、しゅっぱつします。) — We will depart as soon as preparations are complete.","成功するかどうかはあなたの努力次第だ。(せいこうするかどうかはあなたのどりょくしだいだ。) — Whether or not you succeed depends entirely on your effort.","次第 (as soon as) is formal and often written; it signals prompt action upon completion of the prior event. 次第 (depends on) expresses that the outcome is entirely contingent on the specified factor: 結果は天気次第 — the outcome depends on the weather. 次第に (gradually) is a separate adverb and should not be confused with these patterns.",N3,expressions,,,,190,g191,user-title-ai-content
g191,191,"Throughout / Spanning — ~にわたって","Noun plus にわたって (に渡って) means throughout / spanning / over a range of. It indicates that something extends across a wide range of time, area, or scope. にわたる modifies a noun; にわたって modifies a verb clause.","三日間にわたって会議が続いた。(みっかかんにわたってかいぎがつづいた。) — The meeting continued for three full days.","広い範囲にわたって被害が出た。(ひろいはんいにわたってひがいがでた。) — Damage occurred across a wide area.","にわたって implies full coverage across the stated range — every part is included. にわたる before a noun: 3年間にわたる研究 — research spanning three years. Compare にかけて (from X to Y — a range with endpoints) vs にわたって (throughout the whole range — total coverage).",N3,time-expressions,,,,191,g192,user-title-ai-content
g192,192,"Starting With — ~をはじめ / ~をはじめとして","Noun plus をはじめ or をはじめとして means starting with / including / X is a prime example among others. It introduces the most prominent or representative example followed by others of the same category.","東京をはじめ、大阪や京都でも祭りが行われる。(とうきょうをはじめ、おおさかやきょうとでもまつりがおこなわれる。) — Festivals are held in Tokyo and also in Osaka and Kyoto, among other places.","日本語をはじめとするアジアの言語は複雑だ。(にほんごをはじめとするあじあのげんごはふくざつだ。) — Asian languages, starting with Japanese, are complex.","をはじめ implies the named item is the chief or best-known example; the rest of the list is implied or stated. をはじめとする modifies a noun: 日本語をはじめとする言語 — languages starting with Japanese. Compare など (etc.) which simply lists without marking the first as representative.",N3,sentence-structure,,,,192,g193,user-title-ai-content
g193,193,"Taking the Opportunity — ~をきっかけに","Noun plus をきっかけに (を切っ掛けに) means taking X as a trigger / starting from / as a result of / prompted by. It marks the event or experience that triggered a change or set something in motion.","留学をきっかけに、将来の目標が変わった。(りゅうがくをきっかけに、しょうらいのもくひょうがかわった。) — Prompted by studying abroad, my future goals changed.","その失敗をきっかけに、努力するようになった。(そのしっぱいをきっかけに、どりょくするようになった。) — Taking that failure as a turning point, I started making more effort.","をきっかけに(して) is often used with life events: 結婚をきっかけに転職した — I changed jobs when I got married. The related expression をきっかけとして is more formal. Compare: をきっかけに (the trigger of a change) vs をもとに (based on — using as a foundation).",N3,sentence-structure,,,,193,g194,user-title-ai-content
g194,194,"Based On — ~をもとに","Noun plus をもとに (を元に) means based on / drawing on / using as a foundation. It indicates that the stated noun is the source, material, or basis from which something is created, decided, or developed.","この映画は実際の話をもとに作られた。(このえいがはじっさいのはなしをもとにつくられた。) — This film was made based on a true story.","データをもとに判断してください。(でーたをもとにはんだんしてください。) — Please make your judgment based on the data.","をもとに vs をもとにして: both are correct; をもとにして is slightly more explicit. をもとにした + noun is the attributive form: 実話をもとにした映画 — a film based on a true story. Compare: にもとづいて (based on — rule/principle/evidence-based) vs をもとに (based on — source material or information).",N3,sentence-structure,,,,194,g195,user-title-ai-content
g195,195,"Based On a Rule or Evidence — ~に基づいて","Noun plus に基づいて (に基づいて) means based on / grounded in / in accordance with. It indicates that an action, decision, or statement is founded on a rule, law, data, or established principle. More formal than をもとに.","法律に基づいて判断する。(ほうりつにもとづいてはんだんする。) — We judge based on the law.","事実に基づいた報告をお願いします。(じじつにもとづいたほうこくをおねがいします。) — Please provide a report grounded in facts.","に基づいて vs をもとに: に基づいて implies a more authoritative foundation (law, data, evidence, principle); をもとに is broader and includes inspiration, story source, or general material. に基づく before a noun: 科学に基づく治療法 — a treatment method based on science.",N3,sentence-structure,,,,195,g196,user-title-ai-content
g196,196,"On the Occasion Of — ~に当たって / ~にあたり","Noun or verb dictionary form plus に当たって (にあたって) means on the occasion of / when doing / as one is about to. It marks a significant moment or undertaking and introduces a statement, preparation, or reminder appropriate to that moment. にあたり is its more formal written variant.","新年を迎えるにあたって、目標を立てました。(しんねんをむかえるにあたって、もくひょうをたてました。) — On the occasion of welcoming the new year, I set my goals.","ご出発にあたり、いくつかご注意をお伝えします。(ごしゅっぱつにあたり、いくつかごちゅういをおつたえします。) — As you are about to depart, I would like to share a few points of caution.","に当たって is used for formal, often one-time occasions like ceremonies, departures, or the start of a project. It is common in speeches and official announcements. Compare に際して (Lesson 197) which has a nearly identical meaning but tends to appear in even more formal or official contexts.",N3,time-expressions,,,,196,g197,user-title-ai-content
g197,197,"At the Time Of — ~に際して / ~に際し","Noun or verb dictionary form plus に際して (にさいして) means on the occasion of / at the time of / when. It is a highly formal expression used at the start of important events, ceremonies, or significant actions. に際し is its even more compact written form.","ご契約に際して、必要書類をご準備ください。(ごけいやくにさいして、ひつようしょるいをごじゅんびください。) — At the time of signing the contract, please prepare the necessary documents.","日本への渡航に際し、ビザが必要な場合があります。(にほんへのとこうにさいし、びざがひつようなばあいがあります。) — A visa may be required when travelling to Japan.","に際して is more formal than に当たって, and both are more formal than とき (when). Use に際して in official contexts: 入学に際して — at the time of enrollment; 卒業に際して — on the occasion of graduation. に際しての before a noun: 契約に際しての注意 — points to note when signing a contract.",N3,time-expressions,,,,197,g198,user-title-ai-content
g198,198,"Along / Following — ~に沿って","Noun plus に沿って (にそって) means along / following / in line with. It indicates movement along a physical path or adherence to a plan, guideline, or policy.","川に沿って歩きました。(かわにそってあるきました。) — I walked along the river.","計画に沿って進めてください。(けいかくにそってすすめてください。) — Please proceed in line with the plan.","に沿って has both physical (along a river, road, coast) and abstract (along a plan, policy, procedure) meanings. に沿う is the attributive form: 方針に沿った対応 — a response in line with the policy. Compare にしたがって (following / as X progresses) which often implies change over time; に沿って implies steady adherence.",N3,sentence-structure,,,,198,g199,user-title-ai-content
g199,199,"Surrounding / Over the Issue Of — ~をめぐって","Noun plus をめぐって (を巡って) means surrounding / concerning / over the issue of. It marks a topic that is being discussed, debated, contested, or centred on — often implying dispute or concentrated attention.","領土問題をめぐって対立が続いている。(りょうどもんだいをめぐってたいりつがつづいている。) — Confrontation continues over the territorial issue.","遺産をめぐる争いが起きた。(いさんをめぐるあらそいがおきた。) — A dispute arose over the inheritance.","をめぐって often appears with words for discussion, conflict, or debate: 議論 (discussion), 対立 (conflict), 争い (dispute). をめぐる modifies a noun: 問題をめぐる議論 — debate surrounding the issue. Compare について (about — broadly introducing a topic) vs をめぐって (surrounding — indicating contested or focused attention).",N3,sentence-structure,,,,199,g200,user-title-ai-content
g200,200,"According To / As Things Progress — ~にしたがって","Noun plus にしたがって (に従って) means in accordance with / following / as X increases or progresses. It expresses either (1) following a rule, instruction, or order; or (2) a proportional change — as one thing increases, another changes in tandem.","規則にしたがって行動してください。(きそくにしたがってこうどうしてください。) — Please act in accordance with the rules.","時間が経つにしたがって、痛みが和らいだ。(じかんがたつにしたがって、いたみがやわらいだ。) — As time passed, the pain eased.","Two uses: (1) following instructions (にしたがって = に従って, obeying); (2) proportional change (as X, Y also). In the proportional use, the pattern resembles につれて (Lesson 201): にしたがって is slightly more formal. Use につれて for natural accompanying changes; にしたがって for both natural changes and rule-following.",N3,sentence-structure,,,,200,g201,user-title-ai-content
g201,201,"As / Accompanying Change — ~につれて","Plain form or noun plus につれて means as X changes, Y also changes / accompanying. It expresses that two things change in tandem — as one progresses or increases, the other naturally follows. につれ is a slightly more formal variant.","年をとるにつれて、体力が落ちる。(としをとるにつれて、たいりょくがおちる。) — As you get older, your physical strength declines.","技術が発達するにつれて、生活が便利になった。(ぎじゅつがはったつするにつれて、せいかつがべんりになった。) — As technology advanced, life became more convenient.","につれて implies a natural, proportional accompanying change. Compare: にしたがって (following a rule OR proportional change — more formal); にともなって (in conjunction with / as a consequence of — change is caused); ほど (the more X, the more Y — ば〜ほど pattern).",N3,sentence-structure,,,,201,g202,user-title-ai-content
g202,202,"In Conjunction With — ~にともなって","Noun or plain form plus にともなって (に伴って) means in conjunction with / accompanying / as a consequence of. It marks a cause or accompanying circumstance — one change brings about another as a natural accompaniment. More formal and cause-effect than につれて.","人口増加にともなって、住宅不足が深刻になった。(じんこうぞうかにともなって、じゅうたくぶそくがしんこくになった。) — As a result of the population increase, the housing shortage became serious.","経済発展にともない、環境問題も増えた。(けいざいはってんにともない、かんきょうもんだいもふえた。) — With economic development, environmental problems also increased.","にともない is the more formal/written variant of にともなって. にともなう before a noun: 高齢化にともなう問題 — problems accompanying the aging society. Compare につれて (natural accompanying change) vs にともなって (one change causes/accompanies the other — causal nuance).",N3,sentence-structure,,,,202,g203,user-title-ai-content
g203,203,"Formal At / In / Regarding — ~において / ~における","Noun plus において (に於いて) means at / in / with regard to — a formal written expression. The attributive form における modifies a following noun. Used in academic writing, news, official documents, and formal speech to indicate location, context, or field.","現代社会において、スマートフォンは不可欠だ。(げんだいしゃかいにおいて、すまーとふぉんはふかけつだ。) — In modern society, smartphones are indispensable.","教育における問題点を議論した。(きょういくにおけるもんだいてんをぎろんした。) — We discussed the problems in education.","において is the conjunctive form; における is attributive (before a noun). Both are formal equivalents of で/での. Compare: 学校で (casual/neutral) vs 学校において (formal). にて is a literary/archaic equivalent.",N2,sentence-structure,,,,203,g204,user-title-ai-content
